GO_ID	pValues	interestCount	backgroundCount
GO:0098657	0.47422283438659296	1	9
GO:0016811	0.6575506730915142	1	15
GO:0016810	1.0	0	13
GO:0016787	0.989459494271484	5	163
GO:0034144	0.06716455779313547	3	14
GO:0034143	1.0	0	3
GO:0070328	0.705368222563323	2	35
GO:0055090	1.0	0	5
GO:0055088	0.8605088908039666	2	49
GO:0048878	1.0	0	3
GO:0043377	0.19286060605380606	1	3
GO:0045580	0.027178269636604517	3	10
GO:0045581	1.0	0	3
GO:2001186	0.24850146150336413	1	4
GO:0010881	0.776985913544772	1	21
GO:0010880	0.7923735919814672	1	22
GO:0051279	0.544236266969702	1	11
GO:1903169	0.24850146150336413	1	4
GO:0051924	1.0	0	21
GO:0010959	1.0	0	4
GO:0043269	1.0	0	9
GO:1904062	1.0	0	13
GO:0034765	1.0	0	7
GO:0010882	1.0	0	12
GO:0019722	0.9398340260237015	4	106
GO:0141124	0.24850146150336413	1	4
GO:0055117	0.7923735919814672	1	22
GO:0006942	1.0	0	8
GO:0006937	1.0	0	13
GO:1903901	0.24850146150336413	1	4
GO:0050792	1.0	0	3
GO:0048525	1.0	0	4
GO:1900426	0.47422283438659296	1	9
GO:0045446	0.044954894131595535	3	12
GO:0010951	0.3934631811564106	1	7
GO:0045861	0.5219841200953089	2	25
GO:0051248	0.04127016152442236	2	5
GO:0043086	0.5104787423462751	1	10
GO:0046856	0.8828273436859545	1	30
GO:0046839	1.0	0	13
GO:0030258	1.0	0	6
GO:0046488	0.9054572450332443	1	33
GO:0006650	0.6321806093576154	1	14
GO:0046486	0.0166000094611534	4	15
GO:0006644	1.0	0	59
GO:0039694	0.19286060605380606	1	3
GO:0019079	0.5756674533753028	1	12
GO:0016032	0.12309523642132279	3	18
GO:0005507	0.7403621107449132	3	55
GO:0046914	0.4538446663741743	2	22
GO:0046872	1.1442754775331846e-11	51	262
GO:2000583	0.19286060605380606	1	3
GO:0010642	1.0	0	9
GO:0019104	0.020035469917980667	3	9
GO:0010634	0.890915787877195	1	31
GO:0099093	0.24850146150336413	1	4
GO:0006851	0.6321806093576154	1	14
GO:0070588	0.9857255360694861	4	135
GO:0006816	0.9776131012004644	3	104
GO:0030001	0.5841742007049777	2	28
GO:0006812	0.5010843359881044	4	53
GO:0006811	0.9999996493526977	1	207
GO:0098655	0.9474511251769387	2	66
GO:0034220	0.9999861383567852	1	156
GO:0051209	1.0	0	42
GO:0097553	1.0	0	10
GO:0071755	0.19286060605380606	1	3
GO:0071753	0.34854795329137683	1	6
GO:0019814	0.9996211143991187	1	110
GO:0019815	1.0	0	4
GO:0160134	0.005578579509839814	3	6
